L1,L2,L3,YEAR,Month,CURRENCY,VALUE,VALUE_TYPE,CURRENCY_RATIO,EXCHANGE_RATE
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2020,12,USD,"2.785,97",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2020,12,VND,"64.624,86",Thực tế,9,23181.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2021,12,USD,"2.529,21",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2021,12,VND,"58.561,07",Thực tế,9,23126.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2022,12,USD,"2.790,81",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2022,12,VND,"64.839,41",Dự kiến,9,23681.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2023,6,USD,"1.331,38",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ nước ngoài,2023,6,VND,"31.463,78",Dự kiến,9,23660.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2019,12,USD,"6.078,08",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2019,12,VND,"139.899,28",Thực tế,9,23143.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2020,12,USD,"7.919,89",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2020,12,VND,"183.819,30",Thực tế,9,23181.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2021,12,USD,"8.772,10",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2021,12,VND,"203.137,76",Thực tế,9,23126.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2022,12,USD,"6.428,58",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2022,12,VND,"149.344,50",Dự kiến,9,23681.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2023,6,USD,"3.963,38",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả nợ gốc trong kỳ,Nợ trong nước,2023,6,VND,"93.650,64",Dự kiến,9,23660.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2019,12,USD,"4.867,69",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2019,12,VND,"112.039,09",Thực tế,9,23143.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2020,12,USD,"4.927,18",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2020,12,VND,"114.357,99",Thực tế,9,23181.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2021,12,USD,"4.640,90",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2021,12,VND,"107.471,32",Thực tế,9,23126.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2022,12,USD,"4.395,54",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2022,12,VND,"102.121,70",Dự kiến,9,23681.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2023,6,USD,"2.350,87",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,,2023,6,VND,"55.549,36",Dự kiến,9,23660.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2019,12,USD,"735,26",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2019,12,VND,"16.923,02",Thực tế,9,23143.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2020,12,USD,"722,15",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2020,12,VND,"16.760,00",Thực tế,9,23181.0
